SUBJECTID,age,emotion,ACTOR,presentNumber,meanAmpNC
01,olderAgeGroup,B,1,1,-28.059
01,olderAgeGroup,B,1,2,-12.979
01,olderAgeGroup,B,1,3,-13.897
01,olderAgeGroup,B,1,4,-14.122
01,olderAgeGroup,B,1,5,-23.432
01,olderAgeGroup,B,1,6,-11.698
01,olderAgeGroup,B,1,7,-11.668
01,olderAgeGroup,B,1,8,-4.582
01,olderAgeGroup,B,1,9,-7.056
01,olderAgeGroup,B,1,10,-15.372
01,olderAgeGroup,B,2,1,1.268
01,olderAgeGroup,B,2,2,-0.652
01,olderAgeGroup,B,2,3,3.526
01,olderAgeGroup,B,2,4,-10.153
01,olderAgeGroup,B,2,5,8.909
01,olderAgeGroup,B,2,6,-2.849
01,olderAgeGroup,B,2,7,9.125
01,olderAgeGroup,B,2,8,3.856
01,olderAgeGroup,B,2,9,15.169
01,olderAgeGroup,B,2,10,9.081
01,olderAgeGroup,B,3,1,-16.533
01,olderAgeGroup,B,3,2,-13.565
01,olderAgeGroup,B,3,3,-2.532
01,olderAgeGroup,B,3,4,-11.929
01,olderAgeGroup,B,3,5,-9.777
01,olderAgeGroup,B,3,6,-5.577
01,olderAgeGroup,B,3,7,-3.093
01,olderAgeGroup,B,3,8,-11.665
01,olderAgeGroup,B,3,9,5.913
01,olderAgeGroup,B,3,10,-7.003
01,olderAgeGroup,B,4,1,-4.385
01,olderAgeGroup,B,4,2,-7.506
01,olderAgeGroup,B,4,3,-11.161
01,olderAgeGroup,B,4,4,-11.229
01,olderAgeGroup,B,4,5,2.393
01,olderAgeGroup,B,4,6,8.467
01,olderAgeGroup,B,4,7,0.786
01,olderAgeGroup,B,4,8,-3.783
01,olderAgeGroup,B,4,9,3.657
01,olderAgeGroup,B,4,10,3.137
01,olderAgeGroup,B,5,1,-5.347
01,olderAgeGroup,B,5,2,1.172
01,olderAgeGroup,B,5,3,-10.774
01,olderAgeGroup,B,5,4,1.548
01,olderAgeGroup,B,5,5,4.285
01,olderAgeGroup,B,5,6,5.669
01,olderAgeGroup,B,5,7,13.622
01,olderAgeGroup,B,5,8,8.448
01,olderAgeGroup,B,5,9,2.881
01,olderAgeGroup,B,5,10,23.013
01,olderAgeGroup,A,1,1,-28.008
01,olderAgeGroup,A,1,2,-9.182
01,olderAgeGroup,A,1,3,-13.89
01,olderAgeGroup,A,1,4,-15.996
01,olderAgeGroup,A,1,5,-13.126
01,olderAgeGroup,A,1,6,-8.887
01,olderAgeGroup,A,1,7,-9.056
01,olderAgeGroup,A,1,8,-14.717
01,olderAgeGroup,A,1,9,-0.937
01,olderAgeGroup,A,1,10,-2.801
01,olderAgeGroup,A,2,1,-2.329
01,olderAgeGroup,A,2,2,-5.873
01,olderAgeGroup,A,2,3,-4.884
01,olderAgeGroup,A,2,4,5.916
01,olderAgeGroup,A,2,5,5.513
01,olderAgeGroup,A,2,6,1.794
