       value	     chindex	     chlabel	        bini	  binlabel	ERPset
     -42.099	           2	        E104	           1	01_:_30101	
     -32.515	           2	        E104	           2	01_:_30102	
     -25.039	           2	        E104	           3	01_:_30103	
     -23.421	           2	        E104	           4	01_:_30104	
     -31.518	           2	        E104	           5	01_:_30105	
     -27.285	           2	        E104	           6	01_:_30106	
     -23.171	           2	        E104	           7	01_:_30107	
     -23.954	           2	        E104	           8	01_:_30108	
     -21.762	           2	        E104	           9	01_:_30109	
     -18.369	           2	        E104	          10	01_:_30110	
     -23.552	           2	        E104	          11	01_:_30201	
     -27.547	           2	        E104	          12	01_:_30202	
     -21.092	           2	        E104	          13	01_:_30203	
     -29.454	           2	        E104	          14	01_:_30204	
     -16.238	           2	        E104	          15	01_:_30205	
     -18.771	           2	        E104	          16	01_:_30206	
     -23.676	           2	        E104	          17	01_:_30207	
     -17.154	           2	        E104	          18	01_:_30208	
     -10.365	           2	        E104	          19	01_:_30209	
     -14.739	           2	        E104	          20	01_:_30210	
     -27.318	           2	        E104	          21	01_:_30301	
     -22.229	           2	        E104	          22	01_:_30302	
     -18.145	           2	        E104	          23	01_:_30303	
     -27.115	           2	        E104	          24	01_:_30304	
     -14.398	           2	        E104	          25	01_:_30305	
      -3.477	           2	        E104	          26	01_:_30306	
      -3.764	           2	        E104	          27	01_:_30307	
      -4.246	           2	        E104	          28	01_:_30308	
      -3.689	           2	        E104	          29	01_:_30309	
      -3.423	           2	        E104	          30	01_:_30310	
     -25.549	           2	        E104	          31	01_:_30401	
      -9.322	           2	        E104	          32	01_:_30402	
     -12.096	           2	        E104	          33	01_:_30403	
     -34.722	           2	        E104	          34	01_:_30404	
     -21.980	           2	        E104	          35	01_:_30405	
     -10.935	           2	        E104	          36	01_:_30406	
     -21.649	           2	        E104	          37	01_:_30407	
      -8.262	           2	        E104	          38	01_:_30408	
      -7.871	           2	        E104	          39	01_:_30409	
       4.144	           2	        E104	          40	01_:_30410	
     -13.296	           2	        E104	          41	01_:_30501	
     -11.543	           2	        E104	          42	01_:_30502	
     -11.953	           2	        E104	          43	01_:_30503	
     -12.172	           2	        E104	          44	01_:_30504	
     -13.407	           2	        E104	          45	01_:_30505	
      -4.938	           2	        E104	          46	01_:_30506	
      -2.495	           2	        E104	          47	01_:_30507	
     -13.026	           2	        E104	          48	01_:_30508	
      -2.976	           2	        E104	          49	01_:_30509	
      -0.297	           2	        E104	          50	01_:_30510	
     -37.410	           2	        E104	          51	01_:_60101	
     -28.465	           2	        E104	          52	01_:_60102	
     -30.928	           2	        E104	          53	01_:_60103	
     -40.141	           2	        E104	          54	01_:_60104	
     -31.176	           2	        E104	          55	01_:_60105	
     -18.541	           2	        E104	          56	01_:_60106	
     -18.960	           2	        E104	          57	01_:_60107	
     -16.207	           2	        E104	          58	01_:_60108	
     -16.772	           2	        E104	          59	01_:_60109	
     -17.780	           2	        E104	          60	01_:_60110	
     -17.609	           2	        E104	          61	01_:_60201	
     -16.970	           2	        E104	          62	01_:_60202	
     -30.682	           2	        E104	          63	01_:_60203	
     -19.453	           2	        E104	          64	01_:_60204	
     -17.965	           2	        E104	          65	01_:_60205	
     -19.338	           2	        E104	          66	01_:_60206	
     -16.359	           2	        E104	          67	01_:_60207	
      -6.898	           2	        E104	          68	01_:_60208	
       4.900	           2	        E104	          69	01_:_60209	
     -19.176	           2	        E104	          70	01_:_60210	
     -12.345	           2	        E104	          71	01_:_60301	
     -27.720	           2	        E104	          72	01_:_60302	
     -15.766	           2	        E104	          73	01_:_60303	
     -19.443	           2	        E104	          74	01_:_60304	
      -9.708	           2	        E104	          75	01_:_60305	
     -12.811	           2	        E104	          76	01_:_60306	
      -6.526	           2	        E104	          77	01_:_60307	
      -1.174	           2	        E104	          78	01_:_60308	
     -12.771	           2	        E104	          79	01_:_60309	
      -7.274	           2	        E104	          80	01_:_60310	
     -23.338	           2	        E104	          81	01_:_60401	
     -20.843	           2	        E104	          82	01_:_60402	
     -20.852	           2	        E104	          83	01_:_60403	
     -13.684	           2	        E104	          84	01_:_60404	
     -19.508	           2	        E104	          85	01_:_60405	
     -14.268	           2	        E104	          86	01_:_60406	
     -10.566	           2	        E104	          87	01_:_60407	
     -10.067	           2	        E104	          88	01_:_60408	
      -8.053	           2	        E104	          89	01_:_60409	
      -5.622	           2	        E104	          90	01_:_60410	
     -15.128	           2	        E104	          91	01_:_60501	
     -19.129	           2	        E104	          92	01_:_60502	
     -12.293	           2	        E104	          93	01_:_60503	
     -17.048	           2	        E104	          94	01_:_60504	
      -2.847	           2	        E104	          95	01_:_60505	
     -13.859	           2	        E104	          96	01_:_60506	
      -4.553	           2	        E104	          97	01_:_60507	
     -13.531	           2	        E104	          98	01_:_60508	
       7.133	           2	        E104	          99	01_:_60509	
       3.321	           2	        E104	         100	01_:_60510	
     -36.431	           2	        E104	         101	02_:_30101	
