SUBJECTID,age
01,youngerAgeGroup
02,olderAgeGroup
03,youngerAgeGroup
04,youngerAgeGroup
05,youngerAgeGroup
06,olderAgeGroup
07,olderAgeGroup
08,youngerAgeGroup
09,olderAgeGroup
10,olderAgeGroup
11,youngerAgeGroup
12,youngerAgeGroup
13,olderAgeGroup
14,youngerAgeGroup
15,olderAgeGroup
16,olderAgeGroup
17,youngerAgeGroup
18,youngerAgeGroup
19,youngerAgeGroup
20,olderAgeGroup
21,olderAgeGroup
22,youngerAgeGroup
23,youngerAgeGroup
24,youngerAgeGroup
25,youngerAgeGroup
26,olderAgeGroup
27,youngerAgeGroup
28,youngerAgeGroup
29,olderAgeGroup
30,youngerAgeGroup
31,olderAgeGroup
32,youngerAgeGroup
33,olderAgeGroup
34,youngerAgeGroup
35,olderAgeGroup
36,olderAgeGroup
37,youngerAgeGroup
38,olderAgeGroup
39,youngerAgeGroup
40,olderAgeGroup
41,youngerAgeGroup
42,olderAgeGroup
43,olderAgeGroup
44,youngerAgeGroup
45,olderAgeGroup
46,olderAgeGroup
47,olderAgeGroup
48,olderAgeGroup
49,olderAgeGroup
50,youngerAgeGroup
