emotion,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,inCL,modelProblem,modelType,caseDeletionPct,sample
A,-3.258453200426,3.5029759012971,5.35154361999282,-12.0880993517432,5.57119295089115,-0.930195722790855,0.392299478654182,TRUE,none,LME,Pop.,0443
B,-5.17757160042605,3.502975901297,5.35154362152253,-14.0072177510429,3.65207455019077,-1.47804944890115,0.195692915868294,TRUE,none,LME,Pop.,0443
A - B,1.91911840000005,0.167362130163896,4943.99999033798,1.59101432808326,2.24722247191683,11.4668616975696,4.62979432198262e-30,TRUE,none,LME,Pop.,0443
A,-3.2584532,1.29624836610739,48.4124752647942,-5.86416168021678,-0.65274471978322,-2.51375684259112,0.0153234410464634,TRUE,none,ANOVA,Pop.,0443
B,-5.17757160000002,1.29624836610739,48.4124752647942,-7.7832800802168,-2.57186311978324,-3.99427435002151,0.000220070423679354,TRUE,none,ANOVA,Pop.,0443
A - B,1.91911840000002,0.169572158302282,48,1.57817072459209,2.26006607540795,11.3174144813264,3.77999574550183e-15,TRUE,none,ANOVA,Pop.,0443
A,-3.08606727221783,3.47192489179685,5.3367382037389,-11.8441845384305,5.67204999399486,-0.888863488812591,0.412344261401758,TRUE,none,LME,0%,0443
B,-5.14830862348508,3.4720808245187,5.33769700907028,-13.9063814226575,3.60976417568731,-1.48277326585528,0.194622441558259,TRUE,none,LME,0%,0443
A - B,2.06224135126725,0.220623626574915,3050.74699345012,1.62965536443283,2.49482733810167,9.34732776939007,1.68429690131686e-20,TRUE,none,LME,0%,0443
A,-3.89845713604068,1.27434001739513,50.0577623318571,-6.45797121240001,-1.33894305968135,-3.05919698261496,0.00356019182603452,TRUE,none,ANOVA,0%,0443
B,-6.3301465187337,1.27434001739513,50.0577623318571,-8.88966059509303,-3.77063244237437,-4.96739208713943,8.29991964027274e-06,TRUE,none,ANOVA,0%,0443
A - B,2.43168938269302,0.369291811495675,48,1.6891784307938,3.17420033459224,6.58473680432933,3.18806136408052e-08,TRUE,none,ANOVA,0%,0443
A,-3.19625017271266,3.54763689510015,5.33942937489093,-12.1440999405868,5.75159959516146,-0.900951891983984,0.406414286445292,TRUE,none,LME,6%,0443
B,-5.01417167840685,3.54741241662799,5.33807859028792,-13.9620850058422,3.93374164902846,-1.41347300215324,0.213090522866146,TRUE,none,LME,6%,0443
A - B,1.81792150569418,0.237061130158705,2665.32323134961,1.35307913794449,2.28276387344388,7.66857689608221,2.42034249878357e-14,TRUE,none,LME,6%,0443
A,-3.83896329455283,1.37931450970082,47.0733522512842,-6.61367204075985,-1.06425454834582,-2.78323998446555,0.00772327372465545,TRUE,none,ANOVA,6%,0443
B,-5.87603420962989,1.37931450970082,47.0733522512842,-8.6507429558369,-3.10132546342287,-4.26011193843267,9.70972458588823e-05,TRUE,none,ANOVA,6%,0443
A - B,2.03707091507706,0.414071754275799,45,1.20308759155033,2.87105423860378,4.91960848341331,1.20168048902147e-05,TRUE,none,ANOVA,6%,0443
A,-2.9605583862647,3.45188088400286,5.3970254376972,-11.6411149580416,5.71999818551217,-0.857665280393911,0.427513856016813,TRUE,none,LME,11%,0443
B,-5.051064015336,3.45178742008989,5.39644111842243,-13.7316436601093,3.6295156294373,-1.46331839149135,0.199066689694128,TRUE,none,LME,11%,0443
A - B,2.0905056290713,0.230699610225089,2931.8947377323,1.63815596103741,2.54285529710519,9.06159150867936,2.29188403021798e-19,TRUE,none,LME,11%,0443
A,-4.46048686027295,1.42755687245539,44.1696201729521,-7.33722666768677,-1.58374705285912,-3.12455983109166,0.00314241734175838,TRUE,none,ANOVA,11%,0443
B,-6.65381336724675,1.42755687245539,44.1696201729521,-9.53055317466058,-3.77707355983293,-4.66097953477835,2.90908316664139e-05,TRUE,none,ANOVA,11%,0443
A - B,2.1933265069738,0.453189186181189,42,1.27875370242636,3.10789931152124,4.83975914221592,1.78809514412118e-05,TRUE,none,ANOVA,11%,0443
A,-3.26972468310253,3.4998933589872,5.4448733255915,-12.0498235387577,5.51037417255265,-0.934235517406944,0.389735847456898,TRUE,none,LME,32%,0443
B,-5.24697842823339,3.50053880460029,5.44888999763756,-14.0269376116291,3.53298075516237,-1.49890594594694,0.189443278123866,TRUE,none,LME,32%,0443
A - B,1.97725374513085,0.26331164498905,2429.43784399176,1.46091516256451,2.49359232769719,7.50917698764549,8.30613174214459e-14,TRUE,none,LME,32%,0443
A,-4.70560290852446,1.64228272420455,32.7169188018336,-8.04795084409754,-1.36325497295138,-2.8652818660098,0.00722542503447114,TRUE,none,ANOVA,32%,0443
B,-6.88816548189646,1.64228272420455,32.7169188018336,-10.2305134174695,-3.54581754632338,-4.19426288809852,0.000195704884418566,TRUE,none,ANOVA,32%,0443
A - B,2.182562573372,0.345725123404141,32,1.47834354183825,2.88678160490575,6.31299962201666,4.39954835802848e-07,TRUE,none,ANOVA,32%,0443
